bird,abundance,img,ebird,wikipedia,allaboutbirds,male,female,winter,early spring,late spring,summer,post breeding,early fall,late fall
Great Egret,XUFFCCU,https://upload.wikimedia.org/wikipedia/commons/7/7b/Great_egret_%28Ardea_alba%29_Tobago.jpg,https://ebird.org/species/greegr,https://en.wikipedia.org/wiki/Great_egret,https://www.allaboutbirds.org/guide/great_egret/overview,,,6 - extremely rare,4 - uncommon,3 - fairly common,3 - fairly common,2 - common,2 - common,4 - uncommon
Snowy Egret,----XX-,https://upload.wikimedia.org/wikipedia/commons/f/f9/Egretta_thula_at_Las_Gallinas_Wildlife_Ponds.jpg,https://ebird.org/species/snoegr,https://en.wikipedia.org/wiki/Snowy_egret,https://www.allaboutbirds.org/guide/Snowy_Egret/overview,,,,,,,6 - extremely rare,6 - extremely rare,
Little Blue Heron,--XXRX-,https://upload.wikimedia.org/wikipedia/commons/7/77/Egretta_caerulea_-Cananeia%2C_Sao_Paulo%2C_Brasil-8.jpg,https://ebird.org/species/libher,https://en.wikipedia.org/wiki/Little_blue_heron,https://www.allaboutbirds.org/guide/Little_Blue_Heron/overview,,,,,6 - extremely rare,6 - extremely rare,5 - rare,6 - extremely rare,
Cattle Egret,-XRXXX-,https://upload.wikimedia.org/wikipedia/commons/b/b8/Cattle_Egret_%2844750698191%29.jpg,https://ebird.org/species/categr,https://en.wikipedia.org/wiki/Cattle_egret,https://www.allaboutbirds.org/guide/Cattle_Egret/overview,,,,6 - extremely rare,5 - rare,6 - extremely rare,6 - extremely rare,6 - extremely rare,
Green Heron,-XFFFFR,https://upload.wikimedia.org/wikipedia/commons/f/f3/Butorides_virescens2.jpg,https://ebird.org/species/grnher/,https://en.wikipedia.org/wiki/Green_heron,https://www.allaboutbirds.org/guide/Green_Heron/overview,,,,6 - extremely rare,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,5 - rare
Black-crowned Night-Heron,XRRUURX,https://upload.wikimedia.org/wikipedia/commons/2/27/BCNH_CMCNJ_for_Wiki.png,https://ebird.org/species/bcnher,https://en.wikipedia.org/wiki/Black-crowned_night_heron,https://www.allaboutbirds.org/guide/Black-crowned_Night-Heron/overview,,,6 - extremely rare,5 - rare,5 - rare,4 - uncommon,4 - uncommon,5 - rare,6 - extremely rare
Turkey Vulture,XUFUUFR,https://upload.wikimedia.org/wikipedia/commons/7/78/Cathartes_aura_-Santa_Teresa_County_Park%2C_San_Jose%2C_California%2C_USA_-adult-8a.jpg,https://ebird.org/species/turvul,https://en.wikipedia.org/wiki/Turkey_vulture,https://www.allaboutbirds.org/guide/Turkey_Vulture/overview,,,6 - extremely rare,4 - uncommon,3 - fairly common,4 - uncommon,4 - uncommon,3 - fairly common,5 - rare
Osprey,-RUUUUR,https://upload.wikimedia.org/wikipedia/commons/0/01/2010-kabini-osprey.jpg,https://ebird.org/species/osprey,https://en.wikipedia.org/wiki/Osprey,https://www.allaboutbirds.org/guide/Osprey/overview,,,,5 - rare,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,5 - rare
Golden Eagle,-----XX,https://upload.wikimedia.org/wikipedia/commons/4/4b/%D0%91%D0%B5%D1%80%D0%BA%D1%83%D1%82_%28Aquila_chrysaetos%29.jpg,https://ebird.org/species/goleag,https://en.wikipedia.org/wiki/Golden_eagle,https://www.allaboutbirds.org/guide/Golden_Eagle/overview,,,,,,,,6 - extremely rare,6 - extremely rare
Northern Harrier,UURXXUU,https://upload.wikimedia.org/wikipedia/commons/c/c8/Northern_%28Hen%29_Harrier.jpg,https://ebird.org/species/norhar2,https://en.wikipedia.org/wiki/Northern_harrier,https://www.allaboutbirds.org/guide/Northern_Harrier/overview,,,4 - uncommon,4 - uncommon,5 - rare,6 - extremely rare,6 - extremely rare,4 - uncommon,4 - uncommon
